read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap2:71265-76286	2	71265	5021	5021	21	12	12	chr1_hap2
r1_hap1_chr1_hap1:56287-61926	1	56287	5639	5640	28	17	16	chr1_hap1
r2_hap1_chr1_hap1:21273-25392	1	21273	4119	4120	22	13	12	chr1_hap1
r3_hap1_chr1_hap1:58501-62415	1	58501	3914	3911	14	10	13	chr1_hap1
r4_hap2_chr1_hap2:25018-28298	2	25018	3280	3279	14	9	10	chr1_hap2
r5_hap2_chr1_hap2:11749-15338	2	11749	3589	3592	16	12	9	chr1_hap2
r6_hap2_chr1_hap2:661-2710	2	661	2049	2049	10	8	8	chr1_hap2
r7_hap1_chr1_hap1:47488-52640	1	47488	5152	5159	20	21	14	chr1_hap1
r8_hap2_chr1_hap2:69725-74622	2	69725	4897	4899	20	13	11	chr1_hap2
r9_hap1_chr1_hap1:39985-43569	1	39985	3584	3584	10	15	15	chr1_hap1
r10_hap1_chr1_hap1:74175-79592	1	74175	5417	5419	24	15	13	chr1_hap1
r11_hap1_chr1_hap1:42852-45641	1	42852	2789	2788	13	7	8	chr1_hap1
r12_hap2_chr1_hap2:10621-13112	2	10621	2491	2494	9	9	6	chr1_hap2
r13_hap2_chr1_hap2:25997-30337	2	25997	4340	4333	16	10	17	chr1_hap2
r14_hap1_chr1_hap1:38647-41658	1	38647	3011	3020	8	10	1	chr1_hap1
r15_hap1_chr1_hap1:5068-7466	1	5068	2398	2398	6	7	7	chr1_hap1
r16_hap1_chr1_hap1:40578-43227	1	40578	2649	2645	11	5	9	chr1_hap1
r17_hap1_chr1_hap1:41080-43688	1	41080	2608	2608	7	3	3	chr1_hap1
r18_hap1_chr1_hap1:6753-8785	1	6753	2032	2027	7	4	9	chr1_hap1
r19_hap2_chr1_hap2:75574-77972	2	75574	2398	2397	12	3	4	chr1_hap2
r20_hap1_chr1_hap1:68209-74054	1	68209	5845	5852	23	18	11	chr1_hap1
r21_hap2_chr1_hap2:30950-36647	2	30950	5697	5702	20	21	16	chr1_hap2
r22_hap2_chr1_hap2:41606-45730	2	41606	4124	4133	16	18	9	chr1_hap2
r23_hap1_chr1_hap1:61532-64255	1	61532	2723	2719	9	8	12	chr1_hap1
r24_hap2_chr1_hap2:50242-53465	2	50242	3223	3225	18	8	6	chr1_hap2
r25_hap2_chr1_hap2:29790-34117	2	29790	4327	4331	20	13	9	chr1_hap2
r26_hap2_chr1_hap2:71489-76740	2	71489	5251	5256	19	21	16	chr1_hap2
r27_hap2_chr1_hap2:41063-47042	2	41063	5979	5977	20	21	23	chr1_hap2
r28_hap2_chr1_hap2:20042-24423	2	20042	4381	4376	26	11	16	chr1_hap2
r29_hap2_chr1_hap2:46543-50391	2	46543	3848	3846	10	12	14	chr1_hap2
r30_hap1_chr1_hap1:60808-64640	1	60808	3832	3833	20	14	13	chr1_hap1
r31_hap2_chr1_hap2:63905-68507	2	63905	4602	4606	22	18	14	chr1_hap2
r32_hap2_chr1_hap2:28539-34136	2	28539	5597	5596	22	16	17	chr1_hap2
r33_hap1_chr1_hap1:12937-18845	1	12937	5908	5909	17	24	23	chr1_hap1
r34_hap2_chr1_hap2:25802-29037	2	25802	3235	3222	8	6	19	chr1_hap2
r35_hap2_chr1_hap2:67944-70675	2	67944	2731	2731	9	10	10	chr1_hap2
r36_hap2_chr1_hap2:39358-41975	2	39358	2617	2619	8	5	3	chr1_hap2
r37_hap2_chr1_hap2:10533-13371	2	10533	2838	2837	11	14	15	chr1_hap2
r38_hap1_chr1_hap1:22705-28459	1	22705	5754	5762	30	23	15	chr1_hap1
r39_hap1_chr1_hap1:50178-54503	1	50178	4325	4320	15	10	15	chr1_hap1
r40_hap2_chr1_hap2:10674-16487	2	10674	5813	5817	21	25	21	chr1_hap2
r41_hap2_chr1_hap2:53942-58545	2	53942	4603	4606	22	11	8	chr1_hap2
r42_hap2_chr1_hap2:57572-62531	2	57572	4959	4952	27	9	16	chr1_hap2
r43_hap1_chr1_hap1:33213-38961	1	33213	5748	5746	21	19	21	chr1_hap1
r44_hap2_chr1_hap2:28161-30714	2	28161	2553	2559	6	10	4	chr1_hap2
r45_hap1_chr1_hap1:11657-16209	1	11657	4552	4552	10	18	18	chr1_hap1
r46_hap1_chr1_hap1:41561-44784	1	41561	3223	3223	9	12	12	chr1_hap1
r47_hap2_chr1_hap2:59371-64044	2	59371	4673	4669	15	11	15	chr1_hap2
r48_hap1_chr1_hap1:5080-8906	1	5080	3826	3825	18	11	12	chr1_hap1
r49_hap2_chr1_hap2:8798-11917	2	8798	3119	3117	16	9	11	chr1_hap2
r50_hap1_chr1_hap1:50198-54805	1	50198	4607	4610	19	16	13	chr1_hap1
r51_hap2_chr1_hap2:22522-25002	2	22522	2480	2482	19	4	2	chr1_hap2
r52_hap1_chr1_hap1:37528-42191	1	37528	4663	4663	20	11	11	chr1_hap1
r53_hap2_chr1_hap2:36693-41351	2	36693	4658	4671	14	25	12	chr1_hap2
r54_hap2_chr1_hap2:50459-53912	2	50459	3453	3453	15	15	15	chr1_hap2
r55_hap1_chr1_hap1:64023-67228	1	64023	3205	3206	8	10	9	chr1_hap1
r56_hap1_chr1_hap1:24044-28155	1	24044	4111	4115	22	15	11	chr1_hap1
r57_hap1_chr1_hap1:30688-34698	1	30688	4010	4004	14	6	12	chr1_hap1
r58_hap2_chr1_hap2:42994-45363	2	42994	2369	2361	6	5	13	chr1_hap2
r59_hap1_chr1_hap1:73159-76036	1	73159	2877	2875	8	9	11	chr1_hap1
r60_hap1_chr1_hap1:58850-62631	1	58850	3781	3784	7	11	8	chr1_hap1
r61_hap1_chr1_hap1:58001-60963	1	58001	2962	2963	9	9	8	chr1_hap1
r62_hap2_chr1_hap2:70558-75202	2	70558	4644	4635	16	9	18	chr1_hap2
r63_hap2_chr1_hap2:30002-35841	2	30002	5839	5845	17	25	19	chr1_hap2
r64_hap2_chr1_hap2:50382-55351	2	50382	4969	4959	24	10	20	chr1_hap2
r65_hap1_chr1_hap1:52731-57775	1	52731	5044	5038	23	12	18	chr1_hap1
r66_hap2_chr1_hap2:39006-43545	2	39006	4539	4537	31	14	16	chr1_hap2
r67_hap1_chr1_hap1:41402-44685	1	41402	3283	3284	11	11	10	chr1_hap1
r68_hap1_chr1_hap1:14885-18993	1	14885	4108	4105	20	12	15	chr1_hap1
r69_hap2_chr1_hap2:62663-66151	2	62663	3488	3488	8	13	13	chr1_hap2
r70_hap2_chr1_hap2:30741-35780	2	30741	5039	5044	15	19	14	chr1_hap2
r71_hap2_chr1_hap2:39364-44636	2	39364	5272	5280	21	23	15	chr1_hap2
r72_hap2_chr1_hap2:40701-46198	2	40701	5497	5491	22	19	25	chr1_hap2
r73_hap2_chr1_hap2:55161-57822	2	55161	2661	2664	8	10	7	chr1_hap2
r74_hap1_chr1_hap1:10910-13707	1	10910	2797	2806	16	14	5	chr1_hap1
r75_hap1_chr1_hap1:20001-23279	1	20001	3278	3280	19	12	10	chr1_hap1
r76_hap2_chr1_hap2:36622-39478	2	36622	2856	2859	13	9	6	chr1_hap2
r77_hap2_chr1_hap2:28197-33599	2	28197	5402	5409	24	18	11	chr1_hap2
r78_hap2_chr1_hap2:12106-14571	2	12106	2465	2468	8	10	7	chr1_hap2
r79_hap2_chr1_hap2:67799-73489	2	67799	5690	5690	19	20	20	chr1_hap2
r80_hap2_chr1_hap2:15792-20535	2	15792	4743	4752	19	19	10	chr1_hap2
r81_hap1_chr1_hap1:75161-77523	1	75161	2362	2355	14	1	8	chr1_hap1
r82_hap1_chr1_hap1:75481-78306	1	75481	2825	2829	14	12	8	chr1_hap1
r83_hap2_chr1_hap2:70853-76182	2	70853	5329	5328	18	14	15	chr1_hap2
r84_hap2_chr1_hap2:57592-61897	2	57592	4305	4300	19	11	16	chr1_hap2
r85_hap2_chr1_hap2:44234-47585	2	44234	3351	3351	12	8	8	chr1_hap2
r86_hap2_chr1_hap2:45465-51380	2	45465	5915	5924	28	24	15	chr1_hap2
r87_hap2_chr1_hap2:46781-49017	2	46781	2236	2238	7	9	7	chr1_hap2
r88_hap1_chr1_hap1:49477-53761	1	49477	4284	4278	11	14	20	chr1_hap1
r89_hap2_chr1_hap2:37763-40567	2	37763	2804	2804	12	8	8	chr1_hap2
r90_hap2_chr1_hap2:21727-27726	2	21727	5999	6003	20	29	25	chr1_hap2
r91_hap1_chr1_hap1:57679-61749	1	57679	4070	4077	22	15	8	chr1_hap1
r92_hap1_chr1_hap1:69357-73370	1	69357	4013	4016	24	16	13	chr1_hap1
r93_hap2_chr1_hap2:32226-34689	2	32226	2463	2463	11	9	9	chr1_hap2
r94_hap1_chr1_hap1:24917-28026	1	24917	3109	3108	12	7	8	chr1_hap1
r95_hap1_chr1_hap1:1474-3918	1	1474	2444	2449	12	9	4	chr1_hap1
r96_hap1_chr1_hap1:17554-19696	1	17554	2142	2145	2	8	5	chr1_hap1
r97_hap1_chr1_hap1:14200-17208	1	14200	3008	3015	20	12	5	chr1_hap1
r98_hap2_chr1_hap2:43034-47434	2	43034	4400	4411	18	23	12	chr1_hap2
r99_hap2_chr1_hap2:34756-38699	2	34756	3943	3952	18	19	10	chr1_hap2
r100_hap1_chr1_hap1:35167-39294	1	35167	4127	4128	14	15	14	chr1_hap1
r101_hap1_chr1_hap1:1821-6805	1	1821	4984	4982	23	17	19	chr1_hap1
r102_hap2_chr1_hap2:66035-68809	2	66035	2774	2776	15	6	4	chr1_hap2
r103_hap2_chr1_hap2:56671-59653	2	56671	2982	2983	11	8	7	chr1_hap2
r104_hap1_chr1_hap1:49959-55849	1	49959	5890	5896	18	18	12	chr1_hap1
r105_hap1_chr1_hap1:54170-57603	1	54170	3433	3435	18	10	8	chr1_hap1
r106_hap1_chr1_hap1:29344-31682	1	29344	2338	2334	6	5	9	chr1_hap1
r107_hap1_chr1_hap1:42253-45308	1	42253	3055	3058	16	10	7	chr1_hap1
r108_hap1_chr1_hap1:34260-37821	1	34260	3561	3562	12	18	17	chr1_hap1
r109_hap1_chr1_hap1:11667-15028	1	11667	3361	3359	8	11	13	chr1_hap1
r110_hap1_chr1_hap1:46509-48522	1	46509	2013	2016	7	7	4	chr1_hap1
r111_hap1_chr1_hap1:61734-64475	1	61734	2741	2742	9	9	8	chr1_hap1
r112_hap1_chr1_hap1:46351-49878	1	46351	3527	3529	11	13	11	chr1_hap1
r113_hap1_chr1_hap1:74664-77962	1	74664	3298	3301	7	10	7	chr1_hap1
r114_hap1_chr1_hap1:16148-18427	1	16148	2279	2278	5	5	6	chr1_hap1
r115_hap2_chr1_hap2:58027-61532	2	58027	3505	3503	12	6	8	chr1_hap2
r116_hap1_chr1_hap1:41411-46485	1	41411	5074	5084	26	22	12	chr1_hap1
r117_hap1_chr1_hap1:55015-57102	1	55015	2087	2089	4	6	4	chr1_hap1
r118_hap1_chr1_hap1:44793-49122	1	44793	4329	4326	11	13	16	chr1_hap1
r119_hap1_chr1_hap1:24092-27378	1	24092	3286	3284	12	7	9	chr1_hap1
r120_hap1_chr1_hap1:61579-64372	1	61579	2793	2796	7	9	6	chr1_hap1
r121_hap1_chr1_hap1:53362-58544	1	53362	5182	5187	18	21	16	chr1_hap1
r122_hap2_chr1_hap2:46686-49346	2	46686	2660	2662	5	10	8	chr1_hap2
r123_hap2_chr1_hap2:414-4066	2	414	3652	3652	16	9	9	chr1_hap2
r124_hap1_chr1_hap1:40314-43946	1	40314	3632	3631	22	14	15	chr1_hap1
r125_hap1_chr1_hap1:63053-66890	1	63053	3837	3830	22	7	14	chr1_hap1
r126_hap1_chr1_hap1:16686-20761	1	16686	4075	4072	20	11	14	chr1_hap1
r127_hap2_chr1_hap2:9271-12664	2	9271	3393	3399	17	14	8	chr1_hap2
r128_hap1_chr1_hap1:21449-24857	1	21449	3408	3413	19	12	7	chr1_hap1
r129_hap1_chr1_hap1:48183-52168	1	48183	3985	3997	14	24	12	chr1_hap1
r130_hap1_chr1_hap1:13915-19834	1	13915	5919	5922	12	16	13	chr1_hap1
r131_hap2_chr1_hap2:46792-49261	2	46792	2469	2467	6	4	6	chr1_hap2
r132_hap2_chr1_hap2:64755-69167	2	64755	4412	4411	19	17	18	chr1_hap2
r133_hap2_chr1_hap2:1020-5962	2	1020	4942	4949	28	19	12	chr1_hap2
r134_hap1_chr1_hap1:1329-5815	1	1329	4486	4484	9	12	14	chr1_hap1
r135_hap1_chr1_hap1:6938-9933	1	6938	2995	2997	9	9	7	chr1_hap1
r136_hap2_chr1_hap2:9124-12322	2	9124	3198	3206	14	15	7	chr1_hap2
r137_hap1_chr1_hap1:58648-61053	1	58648	2405	2403	5	8	10	chr1_hap1
r138_hap2_chr1_hap2:32136-37549	2	32136	5413	5429	26	26	10	chr1_hap2
r139_hap1_chr1_hap1:19157-22090	1	19157	2933	2939	10	11	5	chr1_hap1
r140_hap1_chr1_hap1:9133-11551	1	9133	2418	2420	5	7	5	chr1_hap1
r141_hap2_chr1_hap2:50967-53781	2	50967	2814	2816	10	12	10	chr1_hap2
r142_hap2_chr1_hap2:54634-57706	2	54634	3072	3072	10	6	6	chr1_hap2
r143_hap2_chr1_hap2:41565-45876	2	41565	4311	4313	16	16	14	chr1_hap2
