read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:54458-59711	2	54458	5253	5249	23	16	20	chr1_hap1
r1_hap1_chr1_hap1:27324-30059	1	27324	2735	2725	11	4	14	chr1_hap1
r2_hap2_chr1_hap1:68-3246	2	68	3178	3181	9	10	7	chr1_hap1
r3_hap1_chr1_hap1:13214-15733	1	13214	2519	2518	9	8	9	chr1_hap1
r4_hap2_chr1_hap1:58564-60790	2	58564	2226	2224	3	3	5	chr1_hap1
r5_hap2_chr1_hap1:13970-19078	2	13970	5108	5108	19	13	13	chr1_hap1
r6_hap1_chr1_hap1:48312-51117	1	48312	2805	2795	10	5	15	chr1_hap1
r7_hap2_chr1_hap1:49780-54517	2	49780	4737	4729	20	10	18	chr1_hap1
r8_hap1_chr1_hap1:54230-58525	1	54230	4295	4296	22	9	8	chr1_hap1
r9_hap1_chr1_hap1:60123-62619	1	60123	2496	2497	10	9	8	chr1_hap1
r10_hap1_chr1_hap1:10375-15257	1	10375	4882	4879	20	14	17	chr1_hap1
r11_hap1_chr1_hap1:54897-56959	1	54897	2062	2064	6	8	6	chr1_hap1
r12_hap1_chr1_hap1:41247-45604	1	41247	4357	4367	24	20	10	chr1_hap1
r13_hap2_chr1_hap1:14470-19381	2	14470	4911	4908	27	14	17	chr1_hap1
r14_hap2_chr1_hap1:56321-58324	2	56321	2003	2001	7	6	8	chr1_hap1
r15_hap2_chr1_hap1:58550-61279	2	58550	2729	2731	14	11	9	chr1_hap1
r16_hap2_chr1_hap1:54101-59793	2	54101	5692	5701	22	22	13	chr1_hap1
r17_hap2_chr1_hap1:866-4238	2	866	3372	3370	11	10	12	chr1_hap1
r18_hap1_chr1_hap1:13574-16844	1	13574	3270	3270	9	13	13	chr1_hap1
r19_hap2_chr1_hap1:46439-52419	2	46439	5980	5976	20	15	19	chr1_hap1
r20_hap2_chr1_hap1:53822-56897	2	53822	3075	3081	14	9	3	chr1_hap1
r21_hap1_chr1_hap1:40794-46599	1	40794	5805	5803	23	13	15	chr1_hap1
r22_hap1_chr1_hap1:38848-44538	1	38848	5690	5693	23	20	17	chr1_hap1
r23_hap2_chr1_hap1:49217-52090	2	49217	2873	2879	10	9	3	chr1_hap1
r24_hap1_chr1_hap1:69089-72475	1	69089	3386	3383	11	8	11	chr1_hap1
r25_hap2_chr1_hap1:40945-45649	2	40945	4704	4699	20	12	17	chr1_hap1
r26_hap2_chr1_hap1:57578-63096	2	57578	5518	5515	16	15	18	chr1_hap1
r27_hap1_chr1_hap1:26944-31820	1	26944	4876	4878	22	15	13	chr1_hap1
r28_hap2_chr1_hap1:27140-29282	2	27140	2142	2140	11	7	9	chr1_hap1
r29_hap2_chr1_hap1:2526-6113	2	2526	3587	3581	11	10	16	chr1_hap1
r30_hap1_chr1_hap1:10668-14565	1	10668	3897	3903	11	15	9	chr1_hap1
r31_hap2_chr1_hap1:3250-7172	2	3250	3922	3914	12	8	16	chr1_hap1
r32_hap2_chr1_hap1:37241-39358	2	37241	2117	2114	10	7	10	chr1_hap1
r33_hap1_chr1_hap1:55150-58578	1	55150	3428	3432	25	12	8	chr1_hap1
r34_hap1_chr1_hap1:38773-44627	1	38773	5854	5851	22	22	25	chr1_hap1
r35_hap1_chr1_hap1:26434-31495	1	26434	5061	5072	18	25	14	chr1_hap1
