read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:20966-24213	1	20966	3247	3250	14	8	5	chr1_hap1
r1_hap1_chr1_hap1:12409-14461	1	12409	2052	2051	8	4	5	chr1_hap1
r2_hap1_chr1_hap1:52452-54730	1	52452	2278	2278	6	9	9	chr1_hap1
r3_hap1_chr1_hap1:51943-54203	1	51943	2260	2255	12	5	10	chr1_hap1
r4_hap1_chr1_hap1:25040-29002	1	25040	3962	3963	20	13	12	chr1_hap1
r5_hap2_chr1_hap1:54972-58177	2	54972	3205	3208	16	9	6	chr1_hap1
r6_hap2_chr1_hap1:21647-25794	2	21647	4147	4141	17	9	15	chr1_hap1
r7_hap1_chr1_hap1:68229-70592	1	68229	2363	2364	14	9	8	chr1_hap1
r8_hap2_chr1_hap1:45599-50669	2	45599	5070	5074	21	17	13	chr1_hap1
r9_hap2_chr1_hap1:29989-35154	2	29989	5165	5168	19	19	16	chr1_hap1
r10_hap2_chr1_hap1:14090-19532	2	14090	5442	5445	22	16	13	chr1_hap1
r11_hap2_chr1_hap1:51138-56852	2	51138	5714	5714	26	19	19	chr1_hap1
r12_hap2_chr1_hap1:45692-51421	2	45692	5729	5728	21	14	15	chr1_hap1
r13_hap2_chr1_hap1:24662-28069	2	24662	3407	3405	14	9	11	chr1_hap1
r14_hap1_chr1_hap1:29354-33603	1	29354	4249	4253	15	14	10	chr1_hap1
r15_hap1_chr1_hap1:45243-47840	1	45243	2597	2599	12	7	5	chr1_hap1
r16_hap2_chr1_hap1:21954-26985	2	21954	5031	5029	15	11	13	chr1_hap1
r17_hap2_chr1_hap1:7691-9710	2	7691	2019	2016	6	1	4	chr1_hap1
r18_hap1_chr1_hap1:61752-64827	1	61752	3075	3073	16	6	8	chr1_hap1
r19_hap2_chr1_hap1:43765-47516	2	43765	3751	3755	19	12	8	chr1_hap1
r20_hap1_chr1_hap1:28413-32055	1	28413	3642	3647	11	13	8	chr1_hap1
r21_hap1_chr1_hap1:24844-30118	1	24844	5274	5288	25	27	13	chr1_hap1
r22_hap1_chr1_hap1:69352-73627	1	69352	4275	4275	15	14	14	chr1_hap1
r23_hap1_chr1_hap1:67945-72932	1	67945	4987	4989	26	12	10	chr1_hap1
r24_hap2_chr1_hap1:52242-54573	2	52242	2331	2329	6	3	5	chr1_hap1
