read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:18619-23911	1	18619	5292	5295	22	14	11	chr1_hap1
r1_hap1_chr1_hap1:27648-33287	1	27648	5639	5636	22	16	19	chr1_hap1
r2_hap2_chr1_hap1:31758-34398	2	31758	2640	2638	13	11	13	chr1_hap1
r3_hap2_chr1_hap1:24579-30374	2	24579	5795	5792	26	13	16	chr1_hap1
r4_hap2_chr1_hap1:24851-30426	2	24851	5575	5577	23	19	17	chr1_hap1
r5_hap1_chr1_hap1:46154-50344	1	46154	4190	4198	21	19	11	chr1_hap1
r6_hap2_chr1_hap1:27266-31634	2	27266	4368	4367	16	13	14	chr1_hap1
r7_hap1_chr1_hap1:67713-71157	1	67713	3444	3444	14	9	9	chr1_hap1
r8_hap2_chr1_hap1:6834-12109	2	6834	5275	5277	21	20	18	chr1_hap1
r9_hap1_chr1_hap1:45497-49019	1	45497	3522	3527	14	11	6	chr1_hap1
r10_hap2_chr1_hap1:43855-46986	2	43855	3131	3129	13	6	8	chr1_hap1
r11_hap1_chr1_hap1:47412-51301	1	47412	3889	3888	14	11	12	chr1_hap1
r12_hap2_chr1_hap1:49320-53076	2	49320	3756	3750	15	9	15	chr1_hap1
r13_hap2_chr1_hap1:17360-21309	2	17360	3949	3956	15	14	7	chr1_hap1
r14_hap2_chr1_hap1:71354-74837	2	71354	3483	3477	11	8	14	chr1_hap1
r15_hap2_chr1_hap1:13710-18378	2	13710	4668	4664	12	6	10	chr1_hap1
r16_hap1_chr1_hap1:5723-9200	1	5723	3477	3475	19	4	6	chr1_hap1
r17_hap1_chr1_hap1:31719-36431	1	31719	4712	4717	20	15	10	chr1_hap1
r18_hap2_chr1_hap1:65206-69172	2	65206	3966	3968	13	12	10	chr1_hap1
r19_hap2_chr1_hap1:969-4723	2	969	3754	3769	21	25	10	chr1_hap1
r20_hap1_chr1_hap1:8066-13363	1	8066	5297	5293	17	13	17	chr1_hap1
r21_hap1_chr1_hap1:64148-66777	1	64148	2629	2629	13	5	5	chr1_hap1
r22_hap1_chr1_hap1:68871-71716	1	68871	2845	2846	11	6	5	chr1_hap1
r23_hap1_chr1_hap1:7761-13307	1	7761	5546	5553	26	21	14	chr1_hap1
r24_hap1_chr1_hap1:48800-53540	1	48800	4740	4739	20	20	21	chr1_hap1
r25_hap1_chr1_hap1:13832-19513	1	13832	5681	5680	31	14	15	chr1_hap1
r26_hap2_chr1_hap1:42246-48038	2	42246	5792	5786	20	16	22	chr1_hap1
r27_hap2_chr1_hap1:60930-66487	2	60930	5557	5558	21	20	19	chr1_hap1
r28_hap2_chr1_hap1:9251-12225	2	9251	2974	2977	18	15	12	chr1_hap1
r29_hap1_chr1_hap1:11260-16423	1	11260	5163	5165	20	15	13	chr1_hap1
r30_hap2_chr1_hap1:53348-59256	2	53348	5908	5910	20	22	20	chr1_hap1
r31_hap1_chr1_hap1:54886-58456	1	54886	3570	3565	10	10	15	chr1_hap1
r32_hap2_chr1_hap1:21871-27423	2	21871	5552	5553	14	17	16	chr1_hap1
r33_hap1_chr1_hap1:65867-71433	1	65867	5566	5564	28	23	25	chr1_hap1
r34_hap1_chr1_hap1:65039-70392	1	65039	5353	5357	22	15	11	chr1_hap1
r35_hap1_chr1_hap1:64808-69153	1	64808	4345	4337	15	9	17	chr1_hap1
r36_hap1_chr1_hap1:2321-6630	1	2321	4309	4318	20	25	16	chr1_hap1
r37_hap2_chr1_hap1:1796-7710	2	1796	5914	5909	25	7	12	chr1_hap1
r38_hap1_chr1_hap1:927-6315	1	927	5388	5378	24	13	23	chr1_hap1
r39_hap1_chr1_hap1:45526-47717	1	45526	2191	2190	8	8	9	chr1_hap1
r40_hap2_chr1_hap1:50251-54735	2	50251	4484	4487	12	14	11	chr1_hap1
r41_hap1_chr1_hap1:61249-64622	1	61249	3373	3376	7	14	11	chr1_hap1
r42_hap2_chr1_hap1:68540-72000	2	68540	3460	3462	11	14	12	chr1_hap1
r43_hap1_chr1_hap1:62829-68191	1	62829	5362	5357	19	10	15	chr1_hap1
r44_hap1_chr1_hap1:8988-14075	1	8988	5087	5082	25	14	19	chr1_hap1
r45_hap2_chr1_hap1:16346-19436	2	16346	3090	3092	11	10	8	chr1_hap1
r46_hap2_chr1_hap1:55096-57808	2	55096	2712	2709	19	8	11	chr1_hap1
r47_hap1_chr1_hap1:32998-37323	1	32998	4325	4325	24	7	7	chr1_hap1
r48_hap2_chr1_hap1:16557-21706	2	16557	5149	5159	19	24	14	chr1_hap1
r49_hap2_chr1_hap1:52090-56925	2	52090	4835	4836	18	20	19	chr1_hap1
r50_hap1_chr1_hap1:68082-74059	1	68082	5977	5979	22	19	17	chr1_hap1
r51_hap1_chr1_hap1:65397-68052	1	65397	2655	2658	14	9	6	chr1_hap1
r52_hap1_chr1_hap1:68161-73489	1	68161	5328	5319	17	11	20	chr1_hap1
r53_hap1_chr1_hap1:8040-10917	1	8040	2877	2877	8	10	10	chr1_hap1
r54_hap1_chr1_hap1:1982-5872	1	1982	3890	3892	7	11	9	chr1_hap1
r55_hap1_chr1_hap1:13835-19729	1	13835	5894	5893	19	15	16	chr1_hap1
r56_hap1_chr1_hap1:20418-23570	1	20418	3152	3153	8	11	10	chr1_hap1
r57_hap2_chr1_hap1:28011-31285	2	28011	3274	3277	12	14	11	chr1_hap1
r58_hap2_chr1_hap1:5069-10885	2	5069	5816	5805	23	13	24	chr1_hap1
r59_hap1_chr1_hap1:3211-8606	1	3211	5395	5393	24	15	17	chr1_hap1
r60_hap1_chr1_hap1:27859-33707	1	27859	5848	5848	39	18	18	chr1_hap1
r61_hap1_chr1_hap1:47109-50427	1	47109	3318	3317	14	13	14	chr1_hap1
r62_hap1_chr1_hap1:17992-23136	1	17992	5144	5139	18	16	21	chr1_hap1
r63_hap2_chr1_hap1:927-6622	2	927	5695	5695	17	16	16	chr1_hap1
r64_hap2_chr1_hap1:69065-75036	2	69065	5971	5985	22	29	15	chr1_hap1
r65_hap1_chr1_hap1:12697-17373	1	12697	4676	4675	18	19	20	chr1_hap1
r66_hap2_chr1_hap1:66709-69797	2	66709	3088	3092	9	11	7	chr1_hap1
r67_hap2_chr1_hap1:66606-69100	2	66606	2494	2501	18	10	3	chr1_hap1
r68_hap2_chr1_hap1:26740-32132	2	26740	5392	5397	32	22	17	chr1_hap1
r69_hap2_chr1_hap1:43781-48498	2	43781	4717	4725	18	15	7	chr1_hap1
r70_hap1_chr1_hap1:28051-31656	1	28051	3605	3609	13	13	9	chr1_hap1
r71_hap1_chr1_hap1:48565-52622	1	48565	4057	4052	12	9	14	chr1_hap1
