read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap1_chr1_hap1:1284-3585	1	1284	2301	2299	6	8	10	chr1_hap1
r1_hap2_chr1_hap1:17989-20823	2	17989	2834	2824	15	5	15	chr1_hap1
r2_hap2_chr1_hap1:7813-12966	2	7813	5153	5155	26	16	14	chr1_hap1
r3_hap2_chr1_hap1:10297-13861	2	10297	3564	3562	11	7	9	chr1_hap1
r4_hap2_chr1_hap1:76226-79050	2	76226	2824	2822	7	5	7	chr1_hap1
r5_hap1_chr1_hap1:25376-31350	1	25376	5974	5971	20	12	15	chr1_hap1
r6_hap1_chr1_hap1:56118-60853	1	56118	4735	4739	13	16	12	chr1_hap1
r7_hap1_chr1_hap1:54711-57763	1	54711	3052	3049	20	11	14	chr1_hap1
r8_hap1_chr1_hap1:60810-64362	1	60810	3552	3555	16	14	11	chr1_hap1
r9_hap1_chr1_hap1:35140-37939	1	35140	2799	2797	11	8	10	chr1_hap1
r10_hap2_chr1_hap1:70268-74852	2	70268	4584	4587	28	19	16	chr1_hap1
r11_hap1_chr1_hap1:42467-44913	1	42467	2446	2447	8	9	8	chr1_hap1
r12_hap1_chr1_hap1:32517-36225	1	32517	3708	3712	14	17	13	chr1_hap1
r13_hap2_chr1_hap1:73649-75960	2	73649	2311	2313	7	7	5	chr1_hap1
r14_hap1_chr1_hap1:34865-38744	1	34865	3879	3875	12	9	13	chr1_hap1
r15_hap1_chr1_hap1:69405-71446	1	69405	2041	2046	9	8	3	chr1_hap1
r16_hap2_chr1_hap1:34143-40127	2	34143	5984	5990	19	19	13	chr1_hap1
r17_hap1_chr1_hap1:60051-65178	1	60051	5127	5126	22	15	16	chr1_hap1
r18_hap2_chr1_hap1:43984-48474	2	43984	4490	4485	28	21	26	chr1_hap1
r19_hap2_chr1_hap1:42359-44901	2	42359	2542	2545	8	10	7	chr1_hap1
r20_hap2_chr1_hap1:22346-25731	2	22346	3385	3384	12	9	10	chr1_hap1
r21_hap2_chr1_hap1:26399-30838	2	26399	4439	4441	15	11	9	chr1_hap1
r22_hap2_chr1_hap1:14378-18708	2	14378	4330	4324	32	12	18	chr1_hap1
r23_hap2_chr1_hap1:54634-60295	2	54634	5661	5662	21	19	18	chr1_hap1
r24_hap1_chr1_hap1:11848-17687	1	11848	5839	5841	29	13	11	chr1_hap1
r25_hap1_chr1_hap1:41473-44013	1	41473	2540	2539	13	6	7	chr1_hap1
r26_hap1_chr1_hap1:43486-46825	1	43486	3339	3329	11	6	16	chr1_hap1
r27_hap1_chr1_hap1:1227-3233	1	1227	2006	2001	15	4	9	chr1_hap1
r28_hap1_chr1_hap1:75574-78041	1	75574	2467	2468	12	6	5	chr1_hap1
r29_hap2_chr1_hap1:15685-20939	2	15685	5254	5254	22	19	19	chr1_hap1
r30_hap1_chr1_hap1:13779-18590	1	13779	4811	4806	21	8	13	chr1_hap1
r31_hap2_chr1_hap1:31162-35975	2	31162	4813	4806	19	9	16	chr1_hap1
r32_hap2_chr1_hap1:52417-54745	2	52417	2328	2329	12	8	7	chr1_hap1
r33_hap1_chr1_hap1:56582-59017	1	56582	2435	2436	10	8	7	chr1_hap1
r34_hap1_chr1_hap1:24898-30633	1	24898	5735	5744	20	25	16	chr1_hap1
r35_hap2_chr1_hap1:52355-55926	2	52355	3571	3567	17	5	9	chr1_hap1
r36_hap1_chr1_hap1:3113-6926	1	3113	3813	3814	15	18	17	chr1_hap1
r37_hap1_chr1_hap1:6037-9473	1	6037	3436	3426	12	7	17	chr1_hap1
r38_hap2_chr1_hap1:72264-77242	2	72264	4978	4980	18	12	10	chr1_hap1
r39_hap1_chr1_hap1:5075-8748	1	5075	3673	3670	24	10	13	chr1_hap1
r40_hap2_chr1_hap1:59234-63951	2	59234	4717	4710	18	8	15	chr1_hap1
r41_hap2_chr1_hap1:73215-78680	2	73215	5465	5458	25	18	25	chr1_hap1
r42_hap2_chr1_hap1:406-3098	2	406	2692	2696	8	12	8	chr1_hap1
r43_hap1_chr1_hap1:3517-7847	1	3517	4330	4332	22	16	14	chr1_hap1
