read_id	hap	start0	len_ref	len_obs	subs	ins	dels	contig
r0_hap2_chr1_hap1:68824-73422	2	68824	4598	4592	16	16	22	chr1_hap1
r1_hap1_chr1_hap1:41985-44754	1	41985	2769	2768	19	7	8	chr1_hap1
r2_hap2_chr1_hap1:28560-33015	2	28560	4455	4454	16	11	12	chr1_hap1
r3_hap2_chr1_hap1:46363-49195	2	46363	2832	2828	10	8	12	chr1_hap1
r4_hap1_chr1_hap1:36483-39802	1	36483	3319	3312	13	2	9	chr1_hap1
r5_hap2_chr1_hap1:28938-33578	2	28938	4640	4641	16	9	8	chr1_hap1
r6_hap1_chr1_hap1:58938-63529	1	58938	4591	4593	13	13	11	chr1_hap1
r7_hap2_chr1_hap1:54257-56997	2	54257	2740	2735	15	8	13	chr1_hap1
r8_hap1_chr1_hap1:9834-13264	1	9834	3430	3433	19	13	10	chr1_hap1
r9_hap2_chr1_hap1:54792-58186	2	54792	3394	3394	14	13	13	chr1_hap1
r10_hap1_chr1_hap1:63969-66452	1	63969	2483	2486	11	13	10	chr1_hap1
r11_hap2_chr1_hap1:45650-49379	2	45650	3729	3729	15	12	12	chr1_hap1
r12_hap1_chr1_hap1:35726-40161	1	35726	4435	4432	18	19	22	chr1_hap1
r13_hap2_chr1_hap1:51425-53736	2	51425	2311	2314	7	9	6	chr1_hap1
r14_hap1_chr1_hap1:15341-19220	1	15341	3879	3875	13	9	13	chr1_hap1
r15_hap1_chr1_hap1:28468-31862	1	28468	3394	3403	11	16	7	chr1_hap1
r16_hap1_chr1_hap1:76490-79095	1	76490	2605	2611	12	10	4	chr1_hap1
r17_hap2_chr1_hap1:76563-79146	2	76563	2583	2580	6	4	7	chr1_hap1
r18_hap1_chr1_hap1:43817-48490	1	43817	4673	4674	21	14	13	chr1_hap1
r19_hap2_chr1_hap1:41795-46285	2	41795	4490	4485	28	21	26	chr1_hap1
r20_hap2_chr1_hap1:70970-75368	2	70970	4398	4403	17	18	13	chr1_hap1
r21_hap2_chr1_hap1:36988-39189	2	36988	2201	2196	8	3	8	chr1_hap1
r22_hap2_chr1_hap1:13780-16916	2	13780	3136	3137	8	7	6	chr1_hap1
r23_hap2_chr1_hap1:36084-38635	2	36084	2551	2549	19	9	11	chr1_hap1
r24_hap2_chr1_hap1:56663-62322	2	56663	5659	5653	23	17	23	chr1_hap1
r25_hap1_chr1_hap1:36846-40092	1	36846	3246	3246	12	9	9	chr1_hap1
r26_hap1_chr1_hap1:11569-16115	1	11569	4546	4550	23	10	6	chr1_hap1
r27_hap2_chr1_hap1:35003-37548	2	35003	2545	2542	15	4	7	chr1_hap1
r28_hap2_chr1_hap1:13087-16191	2	13087	3104	3092	11	5	17	chr1_hap1
r29_hap1_chr1_hap1:46879-49497	1	46879	2618	2618	14	7	7	chr1_hap1
